#wordcloud	weight
Research	11
Software	11
Engineering	11
Python          9
Testing         10
Sharing		9
C++             9
Debugging       9
Parallel        10
Linting		9
HPC             9
GPU             9
Version-Control  9
Git             9
Containers       9
Matlab           9
Documentation    10
R                9
Webdev          9
Machine-Learning 9
Artificial-Intelligence 9
Deep-Learning     9
BioInfo          9
Visualisation    9
java             9
Fortran          9
Project-management 9
Benchmarking    9
FAIR          10
Data		9
Reproducibility  10
Accessibility    9
Findability      9
Interoperability 9
Open-Source	9
Grant-writing	9
Packaging        9
Data-Science     9
Plotting         9
Automation       10
Graphical-user-Interface             9
Virtual-Environment 9
Optimisation     10
Impact		10
Profiling        10
Team-Management  9
Databases    9
Cloud        9
Linux        9
ShinyApp	9
Ethics 		9
Object-Oriented-Programming  9


